review_dates,review_places,review_ratings,review_authors,review_titles,reviews
" November 10, 2023", United States ,5,BEN J ROSCOE,Great product,For the price you can't beat these.
" April 16, 2023", United States ,5,Gcx,Does the trick for me!,"I was having a lot of leg swelling because of sitting for hours... I need both of my hips replaced and am waiting for a surgery date... Ho hum??? I had read other customers who purchased this product say that their leg swelling was in decline from taking this Krill Oil... It took about two weeks but my swelling started going down and now I can see the veins and bones in my feet again, even my calves are showing vain and no real swelling. After 2 months I have now purchased another bottle... Overall, I feel That Krill oil is superiors to fish oil for this purpose and recommend others with swelling try it!

I'm a believer now and will stay on the regimen I now use... 2 soft gels every 2 days seems to work, as well there is other health benefits for the use of this oil and I'm keeping an eye on my blood labs to see if they change over time in the good and bad cholesterol Zone...So far it seems to be helping in that area too!

Gcx..."
" October 18, 2023", United States ,5,Gary T.,Quality product,"Packaging is good. No issues with the product. No bad taste or smell. Softgel size is typical with other fish oil products. Not small, but not so large you can't easily swallow it."
" November 11, 2023", United States ,5,Bernie D.,It works,"Item as described, time!y delivery."
" November 12, 2023", United States ,5,Mary Lou Riesterer,Great stuff,I take every day
" October 24, 2023", United States ,5,karen kunde,Great Krill oil product,"Most Krill oil capsules make me nauseated after taking them, but this one doesn't. I'm impressed! It's hard to tell if It will help me in the long run."
" November 8, 2023", United States ,5,Azure,Will order again great value,Its the best oil for a nice price...
" December 8, 2023", United States ,3,Chick,Smells,It smells like fish I'll finish the bottle but probably won't order again
" July 7, 2023", United States ,4,pluff2,Large Supplement,"The effects of the Krill Oil may be the same as the supplement I took before, however these supplement oils are twice the size as the previous manufacturer that were not available. I most likely will not purchase these again because of size."
" September 28, 2023", United States ,5,vicocar,Noticeable in the body,This is supposed to be a good product. It's supposed to help and protect the eyes among other qualities. This was my purpose for the purchase and found it to be superior to other brands used. Haven't tried all other brands but definitely a good selection for me.
" January 14, 2024", United States ,2,Maxwell Syndstrom,All stuck together and went horribly rancid fast,"Same as many others here, first bottle no problem, but the second one showed up as one lump all glued together. I’ve plucked the pills apart as I’ve used them, but then they got so rancid my bedroom fills with the odor of long dead and rotting fish each time I open the bottle. Stopped taking them obviously and now they sit on my shelf as a monument to years past when I used to visit the shores of Lake Michigan after a mass fish die off in spring. Imagine a dead whale carcass poised for months on the beach during a climate change Arctic summer. You get the idea. I think I will not order these any more. Statins will do. I’m old. I ache. It is nature’s way and I’m going with the flow from here on out."
" July 14, 2023", United States ,4,ReaderInChicago,Rarely fishy,These are large pills that are somewhat easy to swallow. The thing I like best about though is the lack of fish aftertaste that I have had with other fish oil supplements.
" October 15, 2023", United States ,5,Julie,Effective,"Use this as part of my heart health regimen. I take in the mornings because sometimes it gives me indigestion. Overall, it works great. No bad after taste and easy to swallow."
" September 11, 2022", United States ,5,T. Burns,Nature’s Supplement,"I wanted to write this review for a couple of reasons. First of all, A few years ago I was told by my specialist to take Fish Oil for a condition. I did some research and found Krill Oil was at least comparable to fish oil, as it high in Omega 3 fatty acid. I figured if blue whales could take it, so could I. I have been taking Krill Oil for about 5 years, and this particular product for about 3 years. It is the best price. I have no side effects. Occasionally I will be able to have a fishy taste in my mouth. Everyone’s body reacts differently to anything you ingest. You need to realize you are taking fish oil - it will not taste like chocolate! It is a larger pill, but it is 1000mg, so you can get the most benefits from that dosage. I never get headaches, and I also notice that I do not get body aches or swelling. I’m a runner and run 3-4 times per week. I attribute this supplement with helping maintain my body, and slowing the progression of my condition. I have not regretted using this and my body has become accustomed to its addition. No supplement will ever cure you of anything, but with proper life choices and this as an addition, it can add to a healthy life."
" September 9, 2023", United States ,5,N. Gilliland,Quality product.,"I read about Krill oil online. I found these on Amazon and had to buy them.
They are not overly expensive. But honestly I'm not sure I can tell I'm taking
them. It might take 30 days before any difference shows up. It might be the
fact I'm 72. I might just have waited too long.

i"
" November 4, 2023", United States ,5,James Ebert,Krill,Improved Health
" September 19, 2023", United States ,5,Caveman,Ever wonder if your dog is getting enough omega 3s?,"Add this to their diet and watch their fur shine better mobility with age. I am this to every meal, mind you my elder dog is 130 pounds.... Depending on your fur babies size, you may only want to add to one meal or day."
" November 17, 2023", United States ,3,Diana F. Stuart,Dosage,This Dosage of krill is to high for. Causes bowel problems.
" October 19, 2023", United States ,5,Jim Elliott,I take it daily.,Since taking the arctic Krill daily; I use less nitroglycerine!
" September 29, 2023", United States ,5,Blaine Coleman,"These capsules don't have a strong ""fish"" smell","I take one of these a day to meet the recommended amount and they price is far less than at local, even big box, stores. And delivery is always fast."
" October 21, 2023", United States ,5,DebC,Is what it is,No complaints... Did exactly what it was supposed to do
" November 1, 2023", United States ,5,Gary S.,Always top choice,Great value
" September 25, 2023", United States ,3,Traci,Broken capsules,My krill oil arrived on time but when I opened them a handful of my capsules were broken and the liquid spilled out over the other pills. This has made many of them stick together and they break when forcing them apart. And if you are familiar will krill oil it smells fishy so my bottle really smells when I open it.
" January 20, 2023", United States ,5,Alexandria Lee,This Worked for Me!,"I began taking these 3 months ago. My overall cholesterol at the time was 203. At the time I was already on a low dose statin with another brand of fish oil along with a low fat diet. My doctor told me that he was concerned. I told him to give me 3 months to come back for a follow up with blood work. He agreed. The only thing that I changed was the fish oil which guided me to this product. Three months passed and I went back for my lab work. A week later my doctor saw me for follow up. My overall cholesterol was 170!! My doctor told me to keep taking these fish oil supplements but never more than once daily. He didn’t increase the statin dose either. These gel pills have a fishy smell, and are bigger than most. I take mine after lunch and have no fish tasting burps afterwards. I just ordered another bottle of these. Everyone is different with their results, but I have finally found something that works!"
" July 22, 2023", United States ,5,Victoryman63,😲 OMG,"If I could give it a 10 I would.
I'm 70 and have rheumatoid arthritis in my tail bone. I've tried turmeric and many other joint supplements with no results. I enjoy riding my motorcycle but it got where I couldn't go more than an hour without extreme pain. I haven't even gone through half a bottle of this krill oil and now can ride two hours and only get moderate pain. Hoping for more improvement with longer use."
" September 11, 2023", United States ,3,Bambi,Fresh catch?,"I gave a 3 star because I bought this brand 12 times (as opposed to a 1 star). This is the first time that I am having issues with it and trying to get through the bottle. I have never tasted the fish until now. Has the formula changed? It is very fishy. I'm trying to stay loyal, but Mega red looks good to me every time I take this."
" October 24, 2023", United States ,5,Mary,2nd bottle purchased,Seems to make a difference.
" June 20, 2023", United States ,4,William McDaniel,Pretty good product,Pretty good product. Have to a friend because it was a little bit fishy smelling and tasting
" August 6, 2022", United States ,4,Ron C,"No real complaints, seems high quality, honest review","I was experiencing swollen ankles and I heard krill oil helps circulation and can reduce ankle swelling. I have been taking these for a few weeks and my swelling is almost down to zero. That being said, at the same time I made other lifestyle changes, such as quitting drinking, no sugar, no gluten, and a general keto style diet. Are these pills contributing to my well-being? I can't say for sure, but I have been feeling better since making changes, and these pills were part of my change. One comment I want to be bluntly honest about is the strong taste and aroma. They do have an aftertaste of fish, and at times I can smell a strong krill oil odor when I urinate, or sometimes I'll wake up and taste krill, which goes away by brushing teeth and using mouthwash. As far as long term health improvement, time will tell."
" January 10, 2024", United States ,2,Manny,Where’s the higher EPA and DHA?,I’m disappointed to find a low amount of EPA and DHA considering its 2000mg of Krill Oil. I’ve had 1000 mg with much more then this 2000 mg. The EPA in this one is 80 mg but others offer EPA of 135 for 1000 mg of Krill oil. Where is the benefit of more milligrams? I’m disappointed. I should have looked closer but I assumed it would have been better then a 1000 mg krill oil.
" July 20, 2023", United States ,5,jimmyd,Great Producy,I was having issues with my feet and ankles swollen so I read the reviews and saw that it had help customers with swelling. I purchase it a week and a half ago and started using it and my feet haven’t had any swelling and also some of the pain is gone. I will continue to use this product and I highly recommend it.
" June 27, 2023", United States ,5,Ro,Great Omega 3’s,Doctor recommended Omega 3’s and I’ve notice a difference since I started taking these daily. Moving from PNW to Arizona changed my diet. I love seafood! Here it’s not as easy to get. And more expensive with the shipping. I noticed a difference and after speaking to doctor started taking this Krill Oil and last blood work and checkup was told to continue doing whatever I am doing…so highly recommend this Krill Oil supplements for Omega 3’s and a healthy body.
" September 27, 2023", United States ,5,julio ulate,Cápsulas como suplemento alimenticio,Para los que no ingerimos suficiente omega3 creo que es un opcion bastante aceptable.
" November 23, 2023", United States ,1,BigDaddy13,Instead of 120 Krill Oil Pills I Got One Huge Stuck Together Pill,"Not happy at all with Antarctic Krill Oil Pills by Carlyle. Instead of getting 120 gel cap pills I got on giant stuck together pill which I guess is meant for King Kong to make sure he’s getting his Omega 3 in.

I had to get an ice pick to drill down into the bottle breaking a few gel caps so I could dump them in my hand. The problem with doing that is I pierced several pills causing a big red Exxon Valdez Oil Spill.

I would like a replacement to see if it was just an unlucky bottle or I deserve to get my money back. I’ve been buying Kori Krill Oil and have never had an issue. I guess I should stick with what’s worked for me in the past.

Besides taking Krill Oil on a daily basis I also take a Tablespoon of Carlson Fish Oil along with 3 Tablespoons of Gaea Extra Virgin Olive Oil. I take a Tablespoon and a half in the morning along with my Carlson Fish Oil and another Tablespoon and a half of EVOO 30 minutes before dinner. I’m big into heart health adding 45 minutes of Cardio and 30 minutes or weight or resistance training 6 or 7 days a week. I don’t automatically take a day off. I listen to my body and if I feel tired or sore I may take a day off but the problem is I feel so good I rarely take that rest day. It does as much for my mental state as it does for my physical state."
" April 17, 2023", United States ,4,MC Vale,"Good option, but best take it at night, or you'll be burping the taste of fish","I love the fact that the ingredients are good. I love the fact that they are easy to swallow. But I recommend you take them at night, or after your last meal of the day. This way you won't be burping the taste of fish."
" October 15, 2023", United States ,5,DH,Recommended by my Physician.,Nothing to dislike.
" October 4, 2023", United States ,5,Arun chopra,Using it now no issues,Been using it for while with no side effects.
" September 22, 2023", United States ,3,Karleen Brigham,Large size & faint fishy taste,Jar had a damaged capsule inside. So all of the capsules were fishy smelling and oily. There is no return on this item. Not sure yet if they work as stated in description.
" May 16, 2023", United States ,4,Angela Sheeler,Helped cholesterol levels,On second bottle and waiting to make sure this is what helped lower cholesterol but pretty sure it did!
" September 30, 2023", United States ,5,Barry,great,"Quick delivery, all around nice product"
" October 2, 2023", United States ,5,Kazue,Krill oil.,"Great , like to recommend everyone.
Thanks."
" July 10, 2023", United States ,5,HC,Highly recommend,"Since this krill oil is 2000mg my spouse & I take only one a week. For the first time in years we both notice that we aren't constipated & have more frequent bowel movements without relying on taking anything else. No burping fish aftertaste.
Doesn't tast like strong fish. Highly recommend this product."
" September 5, 2023", United States ,5,Luis merino,"Lo mejor:"" no hay sabor a pescado""",Bastante fácil de digerir y sobre todo que como es de Krill. no tiene ese fuerte sabro a pescado..
" October 5, 2023", United States ,5,davidh7626,Waiting to see how much it affects me,No after taste.
" December 30, 2022", United States ,4,Amazon customer,Fishy pill,"I bought this brand because it was way cheaper than Native Path brand. Very fishy smell and for an hour after taking it (even with a full meal), you have fish burps. Easy to swallow and a fraction of the price of other brands. Does the same thing as the expensive brands but the fish burps almost made me gag. On a positive note, it keeps my feet from swelling so much."
" July 27, 2023", United States ,3,Steve H.,Work decently but comes with Fishy smell and fish burps,"Good price for a decent product. Have been dealing with joint pain/athritis in knees for many years and this seems to help slightly along with a good diet. Biggest issues is that fish smell & fish burps from using this product. I have tried other brands that do not have this odor, maybe i got an old batch since a lot of reviews say they have not experiences it but I'll try another brand next time."
" August 23, 2023", United States ,5,Patricia Heilman,Love this!,"My foot has been swollen for over 15 years. After taking this for a week and a half, it is already looking better!"
" May 29, 2023", United States ,4,Jamie Wroe,Great price,Delivery was quick and product as described.
" May 28, 2023", United States ,5,Floyd,Excellent Source of Omega-3 and Astaxanthin,"Antarctic Krill Oil 2000 mg softgels have exceeded my expectations. With potent Omega-3 EPA, DHA, and astaxanthin, this supplement is a powerhouse for overall health. The softgels are easy to swallow, without any fishy aftertaste. Sourced from pristine Antarctic waters, the purity is reassuring. I've experienced improved joint mobility, increased energy, and enhanced cognitive function. For a reliable and effective Omega-3 and astaxanthin supplement, I highly recommend Antarctic Krill Oil 2000 mg softgels."
" August 6, 2023", United States ,5,Amazon Customer,Krill Oil,as a vitamin supplement these work as well as several others. Just an individual choice if you want to increase your krill oil to 1000 mg these work well.
" September 29, 2023", United States ,5,Robert Stokes,Good product,It works
" September 20, 2023", United States ,3,Jeffrey J.,Very large and quite fishy,"Pills are large, hard, and difficult to swallow. They have quite a bit of fishy flavor."
" August 23, 2023", United States ,5,Elsa rivera,Buenas,Llevo 3 dias tomandolas no puedo decir q son buenas volvere en un mes aver Como me an funcionado
" August 8, 2023", United States ,5,Tattoo Easy,Sounds awesome,Just took one we shall see if it is real good stuff in about 3 months when I get my next blood work
" August 28, 2023", United States ,5,Amazon Customer,"Muy buena presentación, color del frasco.","Es un complemento alimenticio, solo se puede ver el efecto a largo plazo,."
" September 12, 2023", United States ,5,John D. Crawford,Next day receiving and great product,Fast delivery and well packaged.
" September 8, 2023", United States ,5,cjb,Huge Pill,Good Vitamin E but HUGE.
" March 15, 2023", United States ,4,The Realdeal,Just krillin,"I burp up a slight fishy taste. Plus, you’re really easy to swallow, and they seem to be doing their job."
" August 2, 2023", United States ,3,Lynn p,After taste,"I suffer from indigestion and when this was taken on one of my many indigestion days, I sure tasted it and it wasn't a good taste. I never gave it a long enough chance to work to help my cholesterol"
" June 11, 2023", United States ,5,Dante I Vacchetto,Better then fish oil,"I always wanted to get my hands on this stuff to try. I love it, it’s way better then fish oil, doesn’t leave a nasty aftertaste in your esophagus. It’s worth the extract couple of dollars then to buy and use fish oil hands down."
" November 13, 2023", United States ,2,Kurt G. Schumacher,Broken capsules ruined two bottles,"I like this product, it's the best krill oil supplement I've found. But in a recent order I got two bottles in which the capsules were all stuck together because some of them had broken and the oil had leaked everywhere. I was not able to return them so I wrote to the seller and have had no reply after over a week."
" June 29, 2023", United States ,5,Jessi Helen,No burps,I decided to try something without a flavor and I am super sensitive with senses and I have no qualms with it what so ever.
" July 31, 2023", United States ,5,Rlvenn,Everything was fine,Can’t say I feel any better but still trying
" August 24, 2023", United States ,5,Almiux,Exelente,Muy buenas
" April 10, 2023", United States ,4,Daniel,it's krill oil,I got what I ordered
" October 28, 2023", United States ,2,Rene Williams,Can’t get the capsules out of the bottle,My supplements arrived today. But there is a major problem. I am unable to get the supplements out of the plastic bottle. They are all fused together. I tried shaking the bottle and can’t separate them. I would like a replacement that hasn’t been sitting in a hot warehouse. 2 stars because they arrived as promised. Please and thank U.
" August 12, 2023", United States ,5,Benjamin Fisher,great deal,they were the best deal i could find at the time
" August 9, 2023", United States ,5,Lee Ann Nail,Good quality,I just started taking these so I will let you know later on how they worked.
" June 27, 2023", United States ,5,Victoria,More energetic,"I was feeling run down, so I researched a supplement to remedy that. This product has really helped in conjunction with a multivitamin to help me feel much more energetic."
" July 11, 2023", United States ,5,Bruce Fiske,Not fishy,Just started on thease to early yo really rate packaging is great absoulty no fish taste
" January 18, 2024", United States ,5,jeff goldberg,Good stuff,Get it
" January 14, 2024", United States ,2,Maxwell Syndstrom,All stuck together and went horribly rancid fast,"Same as many others here, first bottle no problem, but the second one showed up as one lump all glued together. I’ve plucked the pills apart as I’ve used them, but then they got so rancid my bedroom fills with the odor of long dead and rotting fish each time I open the bottle. Stopped taking them obviously and now they sit on my shelf as a monument to years past when I used to visit the shores of Lake Michigan after a mass fish die off in spring. Imagine a dead whale carcass poised for months on the beach during a climate change Arctic summer. You get the idea. I think I will not order these any more. Statins will do. I’m old. I ache. It is nature’s way and I’m going with the flow from here on out."
" January 11, 2024", United States ,1,Ingrid,No lo compren!!!," Hace unos dias compré estas pastillas, hoy que abrí el bote estan pegadas no es posible sacar ni una sola pastilla. Intente de mil formas y lo unico q logre fue que una se reventara y se hiciiera un desastre dentro. No se si es q el producto fue almacenado mucho tiempp en una temperatura no apropiada y que hizo que se pegaran todas y se hiciera una sola piedra dentro. Este producto no aplica para ser regresado asi que perdí $22 .....triste!"
" January 10, 2024", United States ,1,William Leon,Leaky mess,Several capsules were broken and leaking. What a nasty mess
" January 10, 2024", United States ,1,Marnnie Lewis,MELTED! Very disappointed with Amazon and seller!,"Customer service is terrible, it’s impossible to get results. They run you are in circles. I will not purchase this product again."
" January 10, 2024", United States ,2,Manny,Where’s the higher EPA and DHA?,I’m disappointed to find a low amount of EPA and DHA considering its 2000mg of Krill Oil. I’ve had 1000 mg with much more then this 2000 mg. The EPA in this one is 80 mg but others offer EPA of 135 for 1000 mg of Krill oil. Where is the benefit of more milligrams? I’m disappointed. I should have looked closer but I assumed it would have been better then a 1000 mg krill oil.
" January 8, 2024", United States ,5,Fernando,Es una excelente fuente de omega,Es una excelente fuente de omega
" January 8, 2024", United States ,1,Amazon Customer,Maybe a bad batch,I have used this product before for myself and my dogs and thought I would start again. I started using this and have it to my dogs. The dogs got diarrhea after a week then I did. I thought it may be too strong. Then I vomited . Put it away and got caught up in the holidays. Just started back lightly 3x a week for me and once again. Started vomiting last night and feel weak as crap today.
" January 7, 2024", United States ,3,Lenape,Burping up nasty fish taste,"I bought these Krill supplements because they are supposed to be good at lowering cholesterol. I’ve just starting taking them so I can’t speak to that yet. However a big reason I chose this brand is because people said there was no fish taste or burping up a fish taste. That’s not true. Everytime I take one I am burping up a terrible fish taste. It’s really awful. I hope they work for the purpose I bought them, but this fish taste is a bummer. 3 stars because of the fish taste."
" January 5, 2024", United States ,2,Leslie R. Hudson,Oily residue covering all the softgels,There must have been a busted or leaky softgel in the bottle because there was oily residue and pieces of broken pills all within the bottle .
" January 5, 2024", United States ,5,WC Caughman @ Lake Lanier,Krill oil is the best to buy!!,"Haven’t used it yet, but I know my regular Nature Made fish oil is good, but I’ve always heard that Krill oil is much better!"
" January 5, 2024", United States ,1,Miech Sophoan,Broken seals,Play Video
" January 4, 2024", United States ,1,Amazon Customer,awful krill oil,"SMELLS HORRIBLE, STICKY...AND THE WORST THING IS ITS NOT RETURNABLE OR REFUNDABLE. YOU DONT MENTION THAT PART IN YOUR DISCRIPTION., VERY DECEPTIVE. WONT EVER BUY AGAIN AND TELLING EVERYBODY HOW AWFUL IT AND YOUR BUSINESS IS."
" January 3, 2024", United States ,1,Sandra Farrin,Product was Melted,"Product was unusable, all the capsules were stuck together as if the bottle was stored in a very hot area and they melted together. There is no refund on the item either, lost twenty dollars and very disappointed."
" January 3, 2024", United States ,5,Bridget,Best Krill Oil On the Market,Extremely Impressed With This Product for many months on end
" January 2, 2024", United States ,3,Dale,"Quality omega-3 gels, but only if the packaging is good.","Price was very reasonable. The first bottle of 240 softgels I ordered in the summer of 2023 was very good, and I had no problems using the capsules daily. With the second order of 120 soft gels I ordered in December I was not so lucky. A couple of capsules had apparently leaked and all the gelsl capsules are stuck together. Tried separating them but they just burst. So I'm out the cost of a bottle of these Krill Oil gels and unfortunately I might have to reconsider what I order in the future."
" January 2, 2024", United States ,1,Catherine Meyers,Product is non returnable but no instructions for replacement.,"I bought this product before and it was okay but this time when I opened the bottle, all the capsules were stuck together. I tried to separate them with a spoon but they didn't budge and I didn't want krill oil dripping all over in the bottle. When I went to try to return it I was told on the site non returnable. No place to ask for replacement so I am trying this way to complain."
" January 1, 2024", United States ,1,virginia metz,Krill oil did not work for me,I feel that it should be very clearly stating when ordering that it would not be returnable...misleading to say the least!
" December 31, 2023", United States ,1,Expat Bob,"Didn't last, turned rancid.","Received this in Jun 2023. Been taking them on and off with other fish oils, made it through about half a bottle. But now, Dec 2023, they are definitely rancid. No leakers but there's a terrible smell that wasn't there before, and they were stored in a cool dark place. Expiration date is 08-2025. They didn't make it."
" December 30, 2023", United States ,4,Cheryl,Easy on digestive system,Not enough time to evaluate
" December 29, 2023", United States ,1,Amazon Customer,No picture but believe me….,"Smells like a third world country sewer
No refund no return….
👎👎"
" December 29, 2023", United States ,5,Benito hernandez,Que toda persona lo debería usar,"Para antioxidante de 1ra
Completo en lo mejor de aceite de crill"
" December 28, 2023", United States ,1,t3hawaii,Defective product,Received item today. Product not useable. All soft gels appear to be fused together and cannot be removed from the bottle. Note says this product cannot be returned. Previous purchases of this product were received in good condition and were useable. Bad luck for me to receive a defective product that cannot be returned or replaced. Now I have to place another order and pay for the same or similar item.
" December 25, 2023", United States ,5,Robert L. Johnson,Great value,Taking it daily
" December 24, 2023", United States ,5,V King,"I'm a repeat, happy customer",I regularly use this product to assist me in keeping my HDL & LDL levels in their respective proper levels. This regiment is working well.
" December 24, 2023", United States ,5,Brian,Good Price,Bought for my health.
" December 24, 2023", United States ,5,Lee bandy,No problem,"Best product I have found on the market,"
" December 18, 2023", United States ,1,scubadoo,"One solid mass, no return","We couldnt get any out of the bottle. After I found out that I couldnt return, my husband said he would try to get them unstuck but Nope. What a waste of money"
" December 18, 2023", United States ,5,James Oliver,Excellent product,good quality was as advertised.
" December 17, 2023", United States ,1,Car,Terrible,These are the worst! You will burp up fish taste all day and night! They also give me the worst acid reflux! Never again!
" December 15, 2023", United States ,1,Larry,Defective Product Find Alternative Manufacture!!!!!,"Just arrived today. Opened bottle and all of the pills fused into one solid mass. Impossible to seperate, have never seen anything like this before. Went to amazon to return and discovered this company does not accept returns. I now have useless product that cane to me defective and have no recourse but to let others know what happened to me and warn them off so it does not happen to them. There are plenty of other sources for a Krill Oil Pill."
" December 10, 2023", United States ,1,Tina,Strong fishy odor,I opened the bottle and was slapped with a strong fishy odor. I have tried several different brands and have never had this problem in the past. Won’t purchase from this company again.
" December 10, 2023", United States ,5,C. Warren,Krill Oil suppliment,Decided to switch from fish oil to Krill oil as have read it is higher in Omega 3
" December 8, 2023", United States ,3,Chick,Smells,It smells like fish I'll finish the bottle but probably won't order again
" December 7, 2023", United States ,4,Chamreun Khorl,good,good
" December 6, 2023", United States ,1,conbob,Burped fish taste for 1-2 hours!,These caps have a bit of a fish smell but after taking the recommended 2 capsules I burped fish taste for 1-2 hours! They are not returnable even with an unopened container.
" December 5, 2023", United States ,5,Larry Woodard,That it works,"So far, this product is performing well."
" December 3, 2023", United States ,5,Don Alan Hauser,It is easy to use,Easy to swallow gel pills
" December 2, 2023", United States ,1,T. McIntosh,Broken Capsules Leaked Everywhere,"I was excited to try this product. Unfortunately, many of the capsules were broken and the oil had leaked everywhere. With so many open capsules, the smell was terrible. I couldn’t return them and ended up throwing them away."
" December 1, 2023", United States ,5,William In N.Y.,Healthy !,"Easy to take, no bad side effects.
A healthy supplement.
I take one per day.
Excellent bloodwork results."
