ID,review_dates,name,review_ratings,reviews,Blood and lymphatic system disorders,Cardiac disorders,Congenital familial and genetic disorders,Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,Injury poisoning and procedural complications,Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,Neoplasms benign malignant and unspecified (incl cysts and polyps),Nervous system disorders,Pregnancy puerperium and perinatal conditions,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,Respiratory thoracic and mediastinal disorders,Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,Product issues,Positive effects,Correct review,Incorrect review,Incompatibility
1264,2024-01-03,Krill_oil,5,Extremely Impressed With This Product for many months on end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1265,2023-12-29,Krill_oil,5,"Para antioxidante de 1ra
Completo en lo mejor de aceite de crill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1266,2023-12-24,Krill_oil,5,"Best product I have found on the market,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1267,2023-12-07,Krill_oil,4,good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1268,2023-12-25,Krill_oil,5,Taking it daily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1269,2023-12-10,Krill_oil,5,Decided to switch from fish oil to Krill oil as have read it is higher in Omega 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1270,2023-11-16,Krill_oil,5,"Antartic Krill Oil contains 2000mg krill oil, the Phospholipid omega 3 complex is 240 mg.
The EPA is 80 mg , Tthe DHA is 40 mg , other fatty acids are 60 mg , Phospholipids are 60 mg
Anataxanthin is 600 mg .
There is NO : gluten, wheat, milk, lactose, soy, artificial color, artificial flavor, artificial sweetener, or preservatives. This is also NON GMO .

;",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1271,2024-01-02,Krill_oil,3,"Price was very reasonable. The first bottle of 240 softgels I ordered in the summer of 2023 was very good, and I had no problems using the capsules daily. With the second order of 120 soft gels I ordered in December I was not so lucky. A couple of capsules had apparently leaked and all the gelsl capsules are stuck together. Tried separating them but they just burst. So I'm out the cost of a bottle of these Krill Oil gels and unfortunately I might have to reconsider what I order in the future.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1272,2023-09-27,Krill_oil,4,"All of the pills in the bottle were stuck together. I have purchased this particular item many times. This is the first time I have experienced pills being stuck together. I really like this item. I use it for cardiovascular health. The quality seems to be good, but I am not happy with the condition of these pills. My products that I buy from Amazon never set on my porch very long.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1273,2023-11-02,Krill_oil,4,"Purchased as a supplement for my dog’s coat. Punctured capsule, and
mixed in with food, dog liked.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1274,2023-10-06,Krill_oil,4,Have been using this product for a number of years which we always order through Amazon. There is no fishy taste or upset to our stomachs. We are using this product instead of the more expensive Omega red. We feel this product is a good buy and have been purchasing from this seller frequently,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1275,2023-12-05,Krill_oil,5,"So far, this product is performing well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1276,2023-12-01,Krill_oil,5,"Easy to take, no bad side effects.
A healthy supplement.
I take one per day.
Excellent bloodwork results.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1277,2023-12-03,Krill_oil,5,Easy to swallow gel pills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1278,2023-09-16,Krill_oil,4,I need more oil in my diet this did the job pills are rather large but gelatin coat so they go down easy but I do belch up the oily taste; however I don’t mind as it is working well for my health!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1279,2023-11-19,Krill_oil,5,Easy to use noticed no effects on my stomach. Seems very good quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1280,2023-11-16,Krill_oil,5,New brand of oil and I love that I can get it on Amazon.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1281,2023-08-05,Krill_oil,4,"I really like this product, and I purchased it several times.
Just a warning for you: do not order this when the weather is hot, the softgels all stuck together and I could not even separate them, I had to request a refund.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1282,2023-08-09,Krill_oil,4,"I love the product!! But keep asking me to write something!! NOT GONNA HAPPEN, it makes me feel somewhat Offended. I give you a Star . But that’s all Thank you Stan Jackson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1283,2023-11-05,Krill_oil,3,"Purchased for my daughter. However, capsules smell bad and are too large for her to swallow. Tried to process a return and it says nonrefundable. However on the main listing page it says “eligible for return”. What I didn’t know was that when you click on Eligible for return under the listing, it THEN says nonreturnable. Very deceptive and can’t get my money back. Listing needs to be clearer about eligibility for return",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1284,2023-11-10,Krill_oil,5,For the price you can't beat these.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1286,2023-10-18,Krill_oil,5,"Packaging is good. No issues with the product. No bad taste or smell. Softgel size is typical with other fish oil products. Not small, but not so large you can't easily swallow it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1287,2023-11-11,Krill_oil,5,"Item as described, time!y delivery.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1288,2023-11-12,Krill_oil,5,I take every day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1289,2023-10-24,Krill_oil,5,"Most Krill oil capsules make me nauseated after taking them, but this one doesn't. I'm impressed! It's hard to tell if It will help me in the long run.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1290,2023-11-08,Krill_oil,5,Its the best oil for a nice price...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1291,2023-12-08,Krill_oil,3,It smells like fish I'll finish the bottle but probably won't order again,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1292,2023-07-07,Krill_oil,4,"The effects of the Krill Oil may be the same as the supplement I took before, however these supplement oils are twice the size as the previous manufacturer that were not available. I most likely will not purchase these again because of size.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1293,2023-09-28,Krill_oil,5,This is supposed to be a good product. It's supposed to help and protect the eyes among other qualities. This was my purpose for the purchase and found it to be superior to other brands used. Haven't tried all other brands but definitely a good selection for me.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1295,2023-07-14,Krill_oil,4,These are large pills that are somewhat easy to swallow. The thing I like best about though is the lack of fish aftertaste that I have had with other fish oil supplements.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1296,2023-10-15,Krill_oil,5,"Use this as part of my heart health regimen. I take in the mornings because sometimes it gives me indigestion. Overall, it works great. No bad after taste and easy to swallow.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1298,2023-09-09,Krill_oil,5,"I read about Krill oil online. I found these on Amazon and had to buy them.
They are not overly expensive. But honestly I'm not sure I can tell I'm taking
them. It might take 30 days before any difference shows up. It might be the
fact I'm 72. I might just have waited too long.

i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1299,2023-11-04,Krill_oil,5,Improved Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1300,2023-09-19,Krill_oil,5,"Add this to their diet and watch their fur shine better mobility with age. I am this to every meal, mind you my elder dog is 130 pounds.... Depending on your fur babies size, you may only want to add to one meal or day.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1301,2023-11-17,Krill_oil,3,This Dosage of krill is to high for. Causes bowel problems.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1302,2023-10-19,Krill_oil,5,Since taking the arctic Krill daily; I use less nitroglycerine!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1303,2023-09-29,Krill_oil,5,"I take one of these a day to meet the recommended amount and they price is far less than at local, even big box, stores. And delivery is always fast.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1304,2023-10-21,Krill_oil,5,No complaints... Did exactly what it was supposed to do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1305,2023-11-01,Krill_oil,5,Great value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1306,2023-09-25,Krill_oil,3,My krill oil arrived on time but when I opened them a handful of my capsules were broken and the liquid spilled out over the other pills. This has made many of them stick together and they break when forcing them apart. And if you are familiar will krill oil it smells fishy so my bottle really smells when I open it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1308,2023-07-22,Krill_oil,5,"If I could give it a 10 I would.
I'm 70 and have rheumatoid arthritis in my tail bone. I've tried turmeric and many other joint supplements with no results. I enjoy riding my motorcycle but it got where I couldn't go more than an hour without extreme pain. I haven't even gone through half a bottle of this krill oil and now can ride two hours and only get moderate pain. Hoping for more improvement with longer use.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1309,2023-09-11,Krill_oil,3,"I gave a 3 star because I bought this brand 12 times (as opposed to a 1 star). This is the first time that I am having issues with it and trying to get through the bottle. I have never tasted the fish until now. Has the formula changed? It is very fishy. I'm trying to stay loyal, but Mega red looks good to me every time I take this.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1310,2023-10-24,Krill_oil,5,Seems to make a difference.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1311,2023-06-20,Krill_oil,4,Pretty good product. Have to a friend because it was a little bit fishy smelling and tasting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1313,2024-01-10,Krill_oil,2,I’m disappointed to find a low amount of EPA and DHA considering its 2000mg of Krill Oil. I’ve had 1000 mg with much more then this 2000 mg. The EPA in this one is 80 mg but others offer EPA of 135 for 1000 mg of Krill oil. Where is the benefit of more milligrams? I’m disappointed. I should have looked closer but I assumed it would have been better then a 1000 mg krill oil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1314,2023-07-20,Krill_oil,5,I was having issues with my feet and ankles swollen so I read the reviews and saw that it had help customers with swelling. I purchase it a week and a half ago and started using it and my feet haven’t had any swelling and also some of the pain is gone. I will continue to use this product and I highly recommend it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1315,2023-06-27,Krill_oil,5,Doctor recommended Omega 3’s and I’ve notice a difference since I started taking these daily. Moving from PNW to Arizona changed my diet. I love seafood! Here it’s not as easy to get. And more expensive with the shipping. I noticed a difference and after speaking to doctor started taking this Krill Oil and last blood work and checkup was told to continue doing whatever I am doing…so highly recommend this Krill Oil supplements for Omega 3’s and a healthy body.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1316,2023-09-27,Krill_oil,5,Para los que no ingerimos suficiente omega3 creo que es un opcion bastante aceptable.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1318,2023-04-17,Krill_oil,4,"I love the fact that the ingredients are good. I love the fact that they are easy to swallow. But I recommend you take them at night, or after your last meal of the day. This way you won't be burping the taste of fish.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1319,2023-10-15,Krill_oil,5,Nothing to dislike.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1320,2023-10-04,Krill_oil,5,Been using it for while with no side effects.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1321,2023-09-22,Krill_oil,3,Jar had a damaged capsule inside. So all of the capsules were fishy smelling and oily. There is no return on this item. Not sure yet if they work as stated in description.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1322,2023-05-16,Krill_oil,4,On second bottle and waiting to make sure this is what helped lower cholesterol but pretty sure it did!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1323,2023-09-30,Krill_oil,5,"Quick delivery, all around nice product",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1324,2023-10-02,Krill_oil,5,"Great , like to recommend everyone.
Thanks.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1325,2023-07-10,Krill_oil,5,"Since this krill oil is 2000mg my spouse & I take only one a week. For the first time in years we both notice that we aren't constipated & have more frequent bowel movements without relying on taking anything else. No burping fish aftertaste.
Doesn't tast like strong fish. Highly recommend this product.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1326,2023-09-05,Krill_oil,5,Bastante fácil de digerir y sobre todo que como es de Krill. no tiene ese fuerte sabro a pescado..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1327,2023-10-05,Krill_oil,5,No after taste.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1328,2022-12-30,Krill_oil,4,"I bought this brand because it was way cheaper than Native Path brand. Very fishy smell and for an hour after taking it (even with a full meal), you have fish burps. Easy to swallow and a fraction of the price of other brands. Does the same thing as the expensive brands but the fish burps almost made me gag. On a positive note, it keeps my feet from swelling so much.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1329,2023-07-27,Krill_oil,3,"Good price for a decent product. Have been dealing with joint pain/athritis in knees for many years and this seems to help slightly along with a good diet. Biggest issues is that fish smell & fish burps from using this product. I have tried other brands that do not have this odor, maybe i got an old batch since a lot of reviews say they have not experiences it but I'll try another brand next time.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1330,2023-08-23,Krill_oil,5,"My foot has been swollen for over 15 years. After taking this for a week and a half, it is already looking better!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1331,2023-05-29,Krill_oil,4,Delivery was quick and product as described.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1332,2023-05-28,Krill_oil,5,"Antarctic Krill Oil 2000 mg softgels have exceeded my expectations. With potent Omega-3 EPA, DHA, and astaxanthin, this supplement is a powerhouse for overall health. The softgels are easy to swallow, without any fishy aftertaste. Sourced from pristine Antarctic waters, the purity is reassuring. I've experienced improved joint mobility, increased energy, and enhanced cognitive function. For a reliable and effective Omega-3 and astaxanthin supplement, I highly recommend Antarctic Krill Oil 2000 mg softgels.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1333,2023-08-06,Krill_oil,5,as a vitamin supplement these work as well as several others. Just an individual choice if you want to increase your krill oil to 1000 mg these work well.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1334,2023-09-29,Krill_oil,5,It works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1335,2023-09-20,Krill_oil,3,"Pills are large, hard, and difficult to swallow. They have quite a bit of fishy flavor.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1336,2023-08-23,Krill_oil,5,Llevo 3 dias tomandolas no puedo decir q son buenas volvere en un mes aver Como me an funcionado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1337,2023-08-08,Krill_oil,5,Just took one we shall see if it is real good stuff in about 3 months when I get my next blood work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1338,2023-08-28,Krill_oil,5,"Es un complemento alimenticio, solo se puede ver el efecto a largo plazo,.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1339,2023-09-12,Krill_oil,5,Fast delivery and well packaged.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1340,2023-09-08,Krill_oil,5,Good Vitamin E but HUGE.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1341,2023-03-15,Krill_oil,4,"I burp up a slight fishy taste. Plus, you’re really easy to swallow, and they seem to be doing their job.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1342,2023-08-02,Krill_oil,3,"I suffer from indigestion and when this was taken on one of my many indigestion days, I sure tasted it and it wasn't a good taste. I never gave it a long enough chance to work to help my cholesterol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1343,2023-06-11,Krill_oil,5,"I always wanted to get my hands on this stuff to try. I love it, it’s way better then fish oil, doesn’t leave a nasty aftertaste in your esophagus. It’s worth the extract couple of dollars then to buy and use fish oil hands down.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1344,2023-11-13,Krill_oil,2,"I like this product, it's the best krill oil supplement I've found. But in a recent order I got two bottles in which the capsules were all stuck together because some of them had broken and the oil had leaked everywhere. I was not able to return them so I wrote to the seller and have had no reply after over a week.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1345,2023-06-29,Krill_oil,5,I decided to try something without a flavor and I am super sensitive with senses and I have no qualms with it what so ever.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1346,2023-07-31,Krill_oil,5,Can’t say I feel any better but still trying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1347,2023-08-24,Krill_oil,5,Muy buenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1348,2023-04-10,Krill_oil,4,I got what I ordered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1349,2023-10-28,Krill_oil,2,My supplements arrived today. But there is a major problem. I am unable to get the supplements out of the plastic bottle. They are all fused together. I tried shaking the bottle and can’t separate them. I would like a replacement that hasn’t been sitting in a hot warehouse. 2 stars because they arrived as promised. Please and thank U.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1350,2023-08-12,Krill_oil,5,they were the best deal i could find at the time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1351,2023-08-09,Krill_oil,5,I just started taking these so I will let you know later on how they worked.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1352,2023-06-27,Krill_oil,5,"I was feeling run down, so I researched a supplement to remedy that. This product has really helped in conjunction with a multivitamin to help me feel much more energetic.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1353,2023-07-11,Krill_oil,5,Just started on thease to early yo really rate packaging is great absoulty no fish taste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1354,2024-01-18,Krill_oil,5,Get it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1356,2024-01-11,Krill_oil,1," Hace unos dias compré estas pastillas, hoy que abrí el bote estan pegadas no es posible sacar ni una sola pastilla. Intente de mil formas y lo unico q logre fue que una se reventara y se hiciiera un desastre dentro. No se si es q el producto fue almacenado mucho tiempp en una temperatura no apropiada y que hizo que se pegaran todas y se hiciera una sola piedra dentro. Este producto no aplica para ser regresado asi que perdí $22 .....triste!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1357,2024-01-10,Krill_oil,1,Several capsules were broken and leaking. What a nasty mess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1358,2024-01-10,Krill_oil,1,"Customer service is terrible, it’s impossible to get results. They run you are in circles. I will not purchase this product again.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
