ID,name,dates,сondition,overall rating,reviews
67,B009SZXM4E,2023-09-18,POSTPARTUM HAIRLOSS,5.0,"if your like me & started suffering pp hair loss around 4 months i HIGHLY recommend these ! i’ve been taking them since september 2nd once a day consistently and the new growth im already seeing is amazing to me , i had bald spots on the temples of my hairline & showed drastically when i put my hair up . i don’t take anything else with them other than a postnatal vitamin but you can also take just a regular multivitamin on top of it"
68,B009SZXM4E,2023-08-26,It works!,4.0,"Pros: Definitely noticed growth in hair and nails; and hair, nails and skin looked healthier. Cons: trimmed nails more frequently and hair all over grows longer."
69,B009SZXM4E,2023-11-07,Biotin,5.0,This helps with hair and nails
70,B009SZXM4E,2023-10-30,Did not arrive in good condition,5.0,Tho they were still usable. The capsules were melted together and cloudy.
71,B009SZXM4E,2023-11-01,"skin, hair, and nails",5.0,"This is great for my skin, hair, and nails. 5 Stars 🌟🌟🌟🌟🌟👍🏽🥰"
72,B009SZXM4E,2023-10-07,"Natures Bounty, Biotin 10,000 mcg",5.0,"I like the Natures Bounty, Biotin 10,000 mcg. It is just the right dosage I need. The amount is 120 rapid release softgels. With 3 bottles with 120 rapid release softgels is a a excellent quantity for me."
73,B009SZXM4E,2020-05-13,Hair is actually growing,4.0,"so for last year my son was experiencing hair thinning and even hair loss around the crown area. It was very severe and after ignoring the issue for several months with the hope it would grow back I felt I had to take matters into my own hands as I feel that it's causing him self esteem issues. My son is 16 years old. Typical teen, fairly healthy, does not eat well, has not been drinking water. We took him for his annual check-up. Doc said he was fine but if we wanted to he could go and have blood test to see if there's a thyroid issue (we still have to do this). Anyway fast forward six months. A few months ago we bought the hair max laser device and biotin gummies. He uses device sporadically even though I constantly hound him and offer to do it for him. We didn't really see much of a difference. He took gummies but again sporadic at best. So now we are under quarantine. Hubby felt we should go chemical route. I said absolutely not. He's still young and developing. I decided let's change things up a bit. Starting with his meals I am trying to introduce more biotin rich food - Typical breakfast is omelette with mushrooms and yellow bell peppers. Snack is handful of walnuts. Smoothie consisting of banana, strawberries, and handful of spinach. Several glasses of water per day. Couple of times a week I give him juice (carrots, apples and celery). Normal lunch and dinner but also trying to introduce different fruit and vegetables each day. He's actually enjoying most of the food that I've given him. I've also added these biotin pills and still hounding him to do hair max. Within one week we saw a difference. It really is a miracle but still a work in process. He forgets to drink water. He is on board with the food. He's really trying with veggies. Not a fan of juices but loves the smoothies. Not sure what has contributed to hair growth. Maybe a combo of all of this. I also wanted to massage his scalp but he won't let me. I hope this helps you. Don't give up. Definitely revamp diet."
74,B009SZXM4E,2023-11-03,Great product !,5.0,Works great and not a bad taste !
75,B009SZXM4E,2023-11-03,Used for hair loss,5.0,My hair is growing back using this biotin.
76,B009SZXM4E,2023-10-09,Stack it with other products,5.0,"This product on its on will work but if you wanna see some real results, then stack it with Minoxidil, a biotin hair shampoo & Conditioner (I used PuraDor) abd grab yourself a Satin pillow case! All together is the recipe for hair growth!"
77,B009SZXM4E,2023-08-09,Biotin has a new color which is stated on the label & they're made of gelatin so they clump,5.0,"I have been using these pills for over a year. It can take several months to see those whispy little ends that signify new growth to show up. I also bought the Defeel Biotin kit. The shampoo is amazing. I lost 1/3 to 1/2 of my hair after Covid and massive clots two years ago and now my hair is thicker than ever. My hairdresser has been noting the improvement over the last two years. In fact, I even bought her the Biotin kit of 7 essentials. It's the best by Defeel Co."
78,B009SZXM4E,2024-01-07,supplement,3.0,does as described
79,B009SZXM4E,2023-07-20,⭐️⭐️⭐️⭐️⭐️ (5 Stars) Nature’s Bounty Biotin Softgels,5.0,"⭐️⭐️⭐️⭐️⭐️ (5 Stars)
Nature’s Bounty Biotin has been a game-changer for my hair, skin, and nails. With 10,000 mcg, it provides excellent support for their health. The rapid-release softgels are easy to take, and I noticed visible improvements in a short time. A fantastic supplement for natural beauty enhancement! Highly recommended.

𝐑𝐞𝐯𝐢𝐞𝐰 𝐜𝐫𝐢𝐭𝐞𝐫𝐢𝐚
⭐️ (1 Star: Poor product, (𝐰𝐨𝐮𝐥𝐝𝐧'𝐭 𝐫𝐞𝐜𝐨𝐦𝐦𝐞𝐧𝐝 𝐭𝐨 𝐛𝐮𝐲))

⭐️⭐️ (2 Stars: Average performance, disappointing product. (𝐰𝐨𝐮𝐥𝐝𝐧'𝐭 𝐫𝐞𝐜𝐨𝐦𝐦𝐞𝐧𝐝 𝐭𝐨 𝐛𝐮𝐲)

⭐️⭐️⭐️ (3 Stars: Average product, satisfactory performance)

⭐️⭐️⭐️⭐️ (4 Stars: Good product with minor flaws (𝐛𝐮𝐭 𝐰𝐨𝐮𝐥𝐝 𝐫𝐞𝐜𝐨𝐦𝐦𝐞𝐧𝐝 𝐭𝐨 𝐛𝐮𝐲)

⭐️⭐️⭐️⭐️⭐️ (5 Stars: Excellent product, meets all criteria and performs as advertised (𝐰𝐨𝐮𝐥𝐝 𝐫𝐞𝐜𝐨𝐦𝐦𝐞𝐧𝐝 𝐭𝐨 𝐛𝐮𝐲)"
80,B009SZXM4E,2023-08-13,hair loss and skin health,5.0,"This is my hair loss before taking biotin and collagen, and my hair loss only TWO WEEKS after taking it daily. My hair is fine, and so it tangles easily and i lose a lot of it when im showering or brushing it. Biotin and collage have seriously helped with the loss, and also my skins health. I also have a 10 step skin care routine, but the supplements have made it more even and improved the elasticity of it. I definitely recommend this product!! Ive been telling all of the people I know about it too!!!"
81,B009SZXM4E,2023-07-28,It works growing nails,4.0,"I've been using this product for a few weeks inconsistencelly, but I realize that my fingernails and footnails grown more quickly and stronger, kinda hard, I think it's a good product in general to help our skins, hair and nails. Easy to swallow"
82,B009SZXM4E,2023-12-10,Not sure yet,3.0,I started taking Biotin to help my nails. I haven't seen much improvement yet. I will take it a little longer and see if my nails improve at all.
83,B009SZXM4E,2022-03-14,So far so good.,4.0,"Back Story:
I'm definitely gonna be updating this when I get my hair pressed and trimmed but, the picture 📸 attached is my hair exactly 11 weeks ago before the biotin. I started this hair growth challenge against my mom and we are in a competition.

I got this dosage as a recommendation from the hair stylist that kicked off our race (Giving us our starting press &trim).
Initial Reaction:
I'm actually very pleased with the changes i have noticed so far and can't wait to see if I'll gain more benefits or hit a plateau.

The pill is super small and way easy to swallow. I'm not a fan of the smell but, it isn't strong at all. It's extremely faint. A normal person would have to stick their nose in the bottle to be able to smell it. I'm just very sensitive to smells. I have never actually tasted it (i generally keep any pills in between my teeth then swallow it down with water to avoid tasting it just in case it's an unsavory taste) so, I wouldn't be able to describe a flavor.

Now I know my hair has grown since then. My hair is not much thicker (still only been 11 weeks so we will see) but, definitely noticeably longer. Even my nails aren't as brittle and don't break off nearly as often. I know this because, I check my nails on a regular basis and will even do a bend test to check their durability.

I haven't noticed much of a difference in skin but being as though I only started taking it for hair growth. Im not really looking for a change in that department but, I'll keep taking it and see what happens.

Until Next time (typed on 03/14/2022)..."
84,B009SZXM4E,2023-11-03,Efficient,5.0,"Very efficient, good value"
85,B009SZXM4E,2023-06-19,Bad Batch??? NO!!!,5.0,"If you order this product, please note that after contacting Nature's Bounty directly, after receiving a replacement from Amazon with same color as ordered; I have been informed that the color change is because of a ""reformulation"" of the softgel. In other words, they had to make a revision to the ingredients, and that is why there was a color change. It is still the same great product it has been for many years, as well as Nature's Bounty reputation. So glad I researched this...not only for my peace of mind, but for other consumers and Amazon. Of course, this has nothing to do with Amazon as they are just the middle person. Bottles have no tamper evidence at all! Thank you Amazon and Nature's Bounty. Pls note picture with NEW COLOR"
86,B009SZXM4E,2023-04-27,Easy to swallow,5.0,"MY UPDATED REVIEW: Its now been just over 3-months since I started taking this & I am SOOO happy as 1-WEEK ago I have noticed a significant favorable change in my hair growth. Not only do I see baby hairs sprouting along my hairline but they are GRAY which proves that this product indeed works! I color my hair & haven't had to do my facial hairline because there wasn't any regrowth for at least 8-months & after showering I couldn't believe how much hair I was loosing in this area. NOW just the normal (few) amount is on the shower floor! I'm 78 y/o & my hair has always been my crowning glory, so when I started loosing it noticeably I became devastated. Don't bother with all the shampoo hair growth products until you take & give Biotin a chance. I'm taking 10k mcg daily which I checked with my doctor first for approval. NO problems, NO side effects, just good results!"
87,B009SZXM4E,2023-07-07,"Not sure of benefits claimed, but recommended by friends & doctor",4.0,"Since taking this for a couple of years I thought I had a return of some eyelashes and less hair loss post menopause. It may also be that my nails are stronger. The differences are subtle, and not as dramatic as some friends report, but better something than nothing. Tiny gel capsules, easy to swallow, no flavor."
88,B009SZXM4E,2023-09-15,the very best biotin for your body,5.0,"beautiful hair and nails are guaranteed when you take this supplement. I started taking it several years ago and now I can tell you that my hair is long and lustrous and my nails always look gorgeous long and strong without any extra effort, other than taking this pill; in my daily vitamin regimen. this brand works great. best price I've found is here on Amazon"
89,B009SZXM4E,2023-10-03,Biotin helps my Hair,5.0,I am a huge fan of biotin. I can tell a major difference in my hair and nails when I take this supplement. Overall I recommend it to anyone and everyone!
90,B009SZXM4E,2023-08-24,OMG! Hair thinning!,5.0,"Took this for years, along with a handful of complimentary vitamins, but it really didn't help to grow any hair back...except maybe on my legs and lady chin. However, it very well could have helped keep in the hair I do have. I have switched to an all-in-one vitamin, so if it don't grow on top, maybe my beard will grow long enough to style on top of my head!"
91,B009SZXM4E,2023-10-04,Works well,5.0,Been taking these every day for years. I barely lose any hair after I wash it. You Must give them time!! Eventually they kick in & I highly recommend.
92,B009SZXM4E,2023-06-05,"This works, but takes time",5.0,"My fingernails began breaking and cracking really frequently some time after I finished cancer treatment. I assume there must be some connection.

Looking at the nails before use, you could see the nails were a bit reddish with lots of grooves where cracks and breaks could develop. I ordered these. As the nails grew out, the color became more normal from the bottom up. There was still significant breaking as the bad part of the nails grew out, but you could see the healthy are drowning towards the top. The last of the bad area is currently finishing, there is less breakage, and ai can see the final result of normal healthy nails."
93,B009SZXM4E,2023-10-26,Works,5.0,Works great for my hair
94,B009SZXM4E,2023-10-18,Excellent product,5.0,There was one spot where my hair was very thin. After several weeks the growth thickened.l
95,B009SZXM4E,2023-08-16,Hair Growth Magic !,5.0,My hair grows an 1/2 inch or more a month when taking this every day. I’ve taken this for years. A year ago I had a bad bleach incident and lost inches… I started taking this right after and my hair grew back long and stronger than before and it only proved that it actually works!
96,B009SZXM4E,2023-01-15,Works Great for Some People,4.0,"This supplement works great for my husband who is almost 70 and he noticed that his hair, especially eyebrows are returning to their brown color. He hasn’t noticed that his hair is any thicker (which is the primary reason we purchased this product) but he’s very happy that his gray hair seems to be darkening. I tried the supplement for about two weeks and started having stomach issues (which I later read is a side effect for some people). He has never had any stomach sensitivity so he’s going to continue using it. I noticed that the average amount of biotin is typically 1000-5000 mg so at 10,000 mags, this is definitely a mega dose. I was hoping to improve my skin and nails, so I may find one to try at a small dose that will not cause stomach upset."
97,B009SZXM4E,2023-08-10,Bueno,4.0,Me gustó
98,B009SZXM4E,2023-07-24,Amazing,4.0,"After taking these vitamins, I felt a significant acceleration in the growth of nails and an increase in hair (small black hair on the shoulders)🤣"
99,B009SZXM4E,2023-09-03,Didn’t think it would work,5.0,"I am pleasantly surprised as to how much more my hair is growing, also my skin has improved in quality . So much less breakout after the first week and now it’s basically cleared up my skin all of the way:) I take one capsule every morning"
100,B009SZXM4E,2023-09-28,Natures Bounty Biotin is a great product,5.0,"I’ve been taking Biotin for hair and nails for years and I’m very happy with Natures bounty 10,000 mcg"
101,B009SZXM4E,2024-01-16,Read the bottle,5.0,"I have read reviews about the color change, and people are complaining about it, if you read the bottle upper corner it clearly states new color same product, please read people! Otherwise good product!!"
102,B009SZXM4E,2024-01-14,Disappointed,1.0,I subscribed this Biotin supplement for almost 2 years. I received the latest shipment with two different color of pills in the same bottle. Although it will expire in 2025. I feel uncomfortable to take it. I am not sure why it came in two different colors with no explanation attached.
103,B009SZXM4E,2024-01-13,El mejor!!!,5.0, Compré dos frascos en oferta y me llegó uno de regalo gracias
104,B009SZXM4E,2024-01-11,Seems to help my nails and hair.,5.0,I was losing my hair and my nails were thinning. Biotin seems to reverse the problem.
105,B009SZXM4E,2024-01-10,Works well,4.0, Definitely good for hair and skin and nails. I’ve seen the difference since taking it every day and I definitely recommend I’ve been taking it for a while now.
106,B009SZXM4E,2024-01-09,It helps your hair growth,5.0," I take one pill every morning after eating breakfast, I feel like it helped my hair growth, but obviously you see the difference after taking it for months. I recommend this supplement for everyone who wants to see good improvements in their hair."
107,B009SZXM4E,2024-01-08,Okay,5.0,No miracles but I sure can tell if I stop taking it… my nails will start flaking and peeling off within a month or two.
108,B009SZXM4E,2024-01-07,Will keep ordering,5.0,This is great if you need to strengthen hair and nails. I've used these for years and have no complaints.
109,B009SZXM4E,2024-01-07,supplement,3.0,does as described
110,B009SZXM4E,2024-01-07,The price went up.,5.0,It works to restore thinning hair.
111,B009SZXM4E,2024-01-05,Biotin supplement smells horrible and having trouble returning this item.,1.0,There is a horrible smell that is coming from the bottle. I need to return this product and for some reason nature bounty said it was Amazon that was supposed to be taken care of it.
112,B009SZXM4E,2024-01-05,Helps my hair and nails,5.0,I love that these are soft gels because I think it makes them more absorbable. I can really tell a difference in my hair growth and nail conditions. I highly recommend this product.
113,B009SZXM4E,2024-01-04,It’s fine,5.0,Not life chainging or enything but woorks nice you have gota take it for a long ass time tho to help with the straingrh of your haire and nailes
114,B009SZXM4E,2024-01-04,Excelente,5.0,"Excelente producto, muy bien embalado ligero"
115,B009SZXM4E,2024-01-04,Recipe was changed,1.0,Buyers beware!!!! This product now contains soybean oil.
116,B009SZXM4E,2024-01-04,Great,5.0,Just what I wanted
117,B009SZXM4E,2024-01-04,Not white as usual yellow color,2.0,"I ordered the 3 pack twice the first shipment I returned because they were yellow and stuck together from heat.
The second shipment were also yellowed caps which normally come white capsules. I gave up !"
118,B009SZXM4E,2024-01-02,Good value,5.0,I've taken biotin for yrs. Started purchasing on Amazon due to better price & ease of auto delivery. I believe this product has improved the quality & texture of my hair plus the thickness has increased.
