ID,dates,name,ratings,reviews,Blood and lymphatic system disorders,Cardiac disorders,Congenital familial and genetic disorders,Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,Injury poisoning and procedural complications,Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,Neoplasms benign malignant and unspecified (incl cysts and polyps),Nervous system disorders,Pregnancy puerperium and perinatal conditions,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,Respiratory thoracic and mediastinal disorders,Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,Product issues,Positive effects,Correct review,Incorrect review,Incompatibility
449,2008-12-19,Vitamin_D,1.0,thank share experi vit 50000im sorri hear went throughi imagin anxieti feltdid tell docter keep look thing search keep say import want right thing stll didnt take itdo know number level mine low well dont know doi hope feel better pleas post say help feel like dr demand take larg dose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
448,2008-12-22,Vitamin_D,1.0,got vit 50000 need know start larg dose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
447,2009-01-03,Vitamin_D,3.3,took 50000 unit week 6 week felt aw take found rais blood pressur score 20 start take test 2 month rais score 24 wont take high dose take 400 unit day tri take without bp go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
446,2009-01-07,Vitamin_D,1.7,tri 50000 unit capsul almost gag found liquid drop calcidol help 8300 unit take everyday make almost 55000 unit per week get side effect other note ga cramp etc drop tast take morn breakfast everyday like better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
445,2009-01-09,Vitamin_D,5.0,sever pain ankl leg terribl tire time told vitamin level system 8 prescrib 125 vitamin im week 5 leg almost tingli feel almost like leg come aliv ive neg side effect ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
444,2009-01-09,Vitamin_D,1.0,hi that great leg feel better neg side effect know whaen dr recheck levelswel im still tri get nerv take mine also prescrib 125 mg vit gel cap week 12 week go md next week im hope help take vit level 4 new fear take new pill like phobia guess mine wasnt low could taken regular dose never even took vitamin hope continu work youcan ask take food make feel first pill thank madi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
443,2009-01-15,Vitamin_D,4.3,grave diseas fibromyalgia vitamin defici great addit treatment side effect 5 week energi final sleep better memori improv strength actual get thing even grown children notic differ stamina mood level work improv smile much feel much better thought thyroid radiat treatment 18 month ago success symptom still turn relat vitamin defici well happi form treatment continu otc 2000 iu daili 10 week treatment 50000 twice weekli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
442,2009-01-15,Vitamin_D,1.0,comment madi think doctor want either take 50000 unit weekli 400 unit daili dont take start prescrib dose usual prescrib short time period much dont feel good cut back 400 unit daili increas dose 800 unit slowli nice side effect lift mood buy good brand counter d3 make sure get d3 form synthet susan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
441,2009-01-17,Vitamin_D,1.0,thank much susan especi d3 here think tri take 400iu daili fear 50000 get use level dont go may nerv tri one want buy good brand 3 read synthet vitamin arent good wont help hope pharmacist help choos right kind 3 go check natur made thank say lifet mood depress stress need boost thank help appreci madi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
161,2009-01-21,Folic_acid,4.7,easi use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
440,2009-02-06,Vitamin_D,3.7,doctor found vitamin defici 125 vitamin twice week 2 month addit vitamin supplement calcium plu vitamin dthi seem like alot anyon els much anyon els take 125 2x week,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
439,2009-02-07,Vitamin_D,4.3,endocrinologist put 50000 iu vitamin take per month 3 month thyroid remov septemb 2008 vitamin defici even ive feel better sinc ive take calcium fine im hardli ever outdoor may reason vitamin defici sunlight help bodi make vitamin go outsid natur way make vitamin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
437,2009-02-12,Vitamin_D,2.0,second time year ago rais level bit think need stay low dose year round start 50000 iu 2x week 2 half week ago time lot side effect actual feel wors take start heart palpat constip achi muscl muscl twitch galor go pill ugh defici symptom disappear heck way get level back normal serious consid take one pill week get test faith regular dose frustrat fun feel wors take vitamin suppos make feel better ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
438,2009-02-12,Vitamin_D,2.3,doctor offic call anoth swell knee issu advis vitamin defici ach time start take vitamin even far good side effect doctor said pain would bad would never go away diagnos said vitamin level low someth els go never pain free,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
436,2009-02-19,Vitamin_D,3.7,ive diagnos diabetesfibromyalgia hypertens gastroparesi potassium defici vit b sever vit defici even though felt better 50000 iu vit 2x week 1 month use believ mani peopl defici vit like also suffer 1 disord make hard determin whether high dose vitd realli improv overal health condit im medic condit experi major side affect hope supplement help improv ach pain ive felt year affect fatigu ive suffer although may never know sure ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
434,2009-03-22,Vitamin_D,1.0,number vit defici lowest seen comment live michigan much sun 70 year old l7 everyon comment know concern everyon els larg dosag 50000 unit 125mg help get start energi level low decid cant hurt tri especi sinc mani doctor recommend take littl green pill week start today carol ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
433,2009-03-26,Vitamin_D,3.7,take 50000 week 4 month month make feel better joint start hurt overli tire even work 4 day week realli start bother knee sinc start take,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
432,2009-04-06,Vitamin_D,2.3,kidney doctor put 25000 week diabet need care sugar level spike 450 go hospit watch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
431,2009-04-07,Vitamin_D,1.0,sinc take 5 dose 50000 iu blood pressur fluctuat muscl weak littl energi dont know level lowdo like stop plan take lower dose muscl feel better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
430,2009-04-11,Vitamin_D,1.7,ive start medic 50000iu 2x per week ive taken 4 pill thing notic today experienc pain right side kidney im wonder side effect medic im also diabet take thyroid medic one advis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
429,2009-04-12,Vitamin_D,4.7,start take vitd 125mg softgel sever week hip leg ach almost constantli dr prescrib naproxen also far taken two vitamind dose use naproxen two week make sure take food water time 2x day naproxen 2x week vitd notic energi level sinc take vit far diagnos level 15 doctor told 30 normal rang hope help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
428,2009-04-18,Vitamin_D,2.3,rash arm leg back sinc ibegan 50000 week occasion sharp pain right side go back pain muscl soft tissu emprov price high feel like ichi lepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
427,2009-04-28,Vitamin_D,3.3,39yr not40 yet lol start vit level 7i expierenc everyth everyon els ismi bone ach 2 day afteri feel need mayb workingbut feel betteri dont sleep timei bit energyso satisfi overal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
426,2009-05-15,Vitamin_D,1.7,test level 7 vitamin doctor start 1000mg day felt bad could move drop 4oomg daili hurt bad still hardli move extrem sensit sunlight anyon els experienc take dri vitamin 3 help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
947,2009-07-07,Melatonin,3.3,use help sleep issu due fibromyalgia 3 night 13mg im notic dizzi day sinu headach bad dream tri go nortryptilin dont think,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
424,2009-07-09,Vitamin_D,4.0,vitamin level 12 low 20 100 taken one dose 50000 far first dose energi feel alot better abl sleep night post dose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
946,2009-07-12,Melatonin,3.7,16 age limit pediatrician recommend sleep night use week half sinc start red bump like mosquito bite show stomach vivid nightmar allerg reaction mani medic love sleep night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
945,2009-07-23,Melatonin,4.3,els fail work better counter sleep medicin still dont sleep like need though your limit 3 mg dont go amount fear bad reaction bodi doesnt react much type medic anymor ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
421,2009-07-28,Vitamin_D,1.3,24 yr post gastric bypass patient level 8 vit dr prescrib 50000 3x wk 3 mon alot side effect itaft take 2nd dose stomach probsnauseagi prob 3rd dose heart palp high blood pressur alway low aniex bad chest pain also experienc increas urin told dr said 1st heard anyon type symptomsso tri happen went 2 mon tri take take larg dose ever bought liquid vit d3 1000mg welles good brand go take everi coupl day gradual build well lab redon seeit never went much first place also suffer fibromyaglia myofaci pain chronic headach anemialow iron calcium vertigo thyroid heart palpsirreg beat anixietydepress wonder mayb someth condit told would help case feel wors take give flare up comment help know alon other side effect thank ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
422,2009-07-28,Vitamin_D,3.0,blood work done show dific vitamin dr advis take 2000 iu daili second day im extrem hyper take thyroid med morn wait till noon take 1000 iu vitamin caus hyper sensat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
159,2009-07-28,Folic_acid,5.0,use medic high cholesterol made file realli old lot symtom start use acid folic vitamin bcomplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
158,2009-07-29,Folic_acid,3.7,take gnc women prenat vitamin 1000 mcg folic acid also eat diet rich folic acid ive feel nauseat ga difficult know pregnanc hormon side effect high dose folic acid switch lower dose second trimest see happen,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
420,2009-08-02,Vitamin_D,5.0,take 50000 unit week feel great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
944,2009-08-06,Melatonin,4.7,1516 year old began real problem sleep want becom depend prescript sleep aid doctor suggest tri melatonin work wonder take one pill half hour bed problem fall asleep ive use 2 year side effect ive notic sometim vivid dream start treatment rare rememb dream often great detail ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
419,2009-08-11,Vitamin_D,3.3,found vitamin defici number 20 doctor prescrib 50000iu d2 week 78 week retest like mani hesit final took first dose 5 day ago problem littl bit nausea 10 hr someth cant realli say due vitamin took maalox total fine shortli thereaft updat progress other may hesit take dosag around middl late septemb share experi dosag 78 week lab result see much number increas final decid take vitamin suffer last 2 12 year joint sore fatigu gener feel flu blood test show anyth conclus new doctor ran test told rheumatologist went never ran test caus symptom wont know done therapi updat later next month case anyon els may similar symptom ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
418,2009-08-15,Vitamin_D,1.0,prescrib vitamin due fact supposedli 1 lowest rate unit state bone loss tri take vitamin year ago gave sever heartburn abdomin discomfort bloat etc quit use doctor want anoth bone densiti test found quit take due recent result insist give anoth tri second week took fosamax extrem heartburn indigest bloat abdomen nauseat feel like heck refus take medic 66 year old isnt worth feel like ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
794,2009-08-16,Krill_oil,1.0,tri 3 time cant toler set ib way unbear hard digest system caus horribl spasm ga burn overal sick ib digest issu normal peopl may fine recomend peopl digest disord,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
417,2009-08-22,Vitamin_D,1.0,low vitamin level doctor want take 50000iu day 5 day month anyon high dose scare take,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
416,2009-08-24,Vitamin_D,1.7,vitamin level extrem low doctor prescrib supplement 6 month retest take first dose hurt bad stop treatment altern help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
415,2009-08-25,Vitamin_D,5.0,take almost 3mth fatigu almost disappear even abl reduc medic use vitamin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
414,2009-08-25,Vitamin_D,2.7,vitamin defic doctor prescrib 50000 unit vitamin taken day 30 day thereaft one 1 dosag week one week take med one week face start becom med lightdiscolor appear like sign vitiligo stop take vitamin skin return normal howev take vitamin back pain lessen stop take vitamin back pain excruci ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
70,2009-08-28,Ginkgo,3.7,made 90 last three test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
413,2009-08-29,Vitamin_D,5.0,2 year bone pain low energi dr final check level request 4 low normal 40 took 50000 unit week 8 week 7th week pain med mood chang drastic take 2000 unit daili left home went 10 day vacat symptom return real note interest live sunni southern az garden daili 40 take,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
412,2009-09-01,Vitamin_D,4.7,afraid take 50000 unit week5000iu read previou post side effect prescript week eight week get vit dalmost regist thyroid levelwa slightli lowretest defici discov routin physicalbloodwork one day ach could psychoin head lolotherwis took second dosag day ago ok far,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
411,2009-09-06,Vitamin_D,4.0,updat 81109 post taken four pill far havent notic problem reason rate effect section 2 star due fact havent complet treatment yet havent notic chang symptom im sure symptom due defici im half way prescript given know mani peopl hesit take 50000iu truth still give paus everi time take want share experi other defici research gather last sever week read subject defici someth peopl shouldnt take lightli medic commun final realiz defici lead whole host medic problem vitamin provid treatment condit actual prevent other occur first place couldnt deni fact knew take possibl deal greater problem futur result depriv bodi someth vital need one point want mention other might go experi that vitamin defici underact thyroid inform possibl connect two condit medic site sketchi allud write noth concret document mayb wish think part defici caus thyroid problem time tell thyroid littl underact yet thyroid antibodi test neg hypothyroid mayb isnt link two condit give anoth updat anyth new happen give final entri end octob go anoth set blood test see increas number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
156,2009-09-08,Folic_acid,4.3,take almost 3 month help effect methotrex side effect get better sever day take methotrex howev folic acid take everi day joint pain improv minim treatment ra realli start rheumatologist say give sever month ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
410,2009-09-13,Vitamin_D,2.3,advis doctor take calcium vitamin plu extra vitamin bought mason chewabl vitamin fix throw away dont alert contain sucros sugar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
409,2009-09-21,Vitamin_D,2.3,taken one pill 50000 unit vitmin far start treatment problem bone pain muscl ach actual gotten wors bare walk im 26 year old im scare worri hope work end 8 week treatment im feel good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
155,2009-09-22,Folic_acid,5.0,use product tri conceiv effect fact level low 9 month ago healthi level requir conceiv ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
407,2009-09-25,Vitamin_D,1.0,havent begun treatment yet get prescript fill tomorrow go vacat 3 week sure begin treatment hesit dosag side affect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
632,2009-09-26,Colloidal_silver,4.7,staph infect bursa elbow doctor treat antibiot 4 month chang take colloid silver 2 week infect almost complet gone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
406,2009-09-27,Vitamin_D,2.0,take 50000 unit per week low vitamin read last blood check headach seem come frequent pain get wors end second week 6 week treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
941,2009-09-27,Melatonin,5.0,use melatonin support 7 8 hour sleep everi time use ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
942,2009-09-27,Melatonin,5.0,use melatonin support 7 8 hour sleep everi time use ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,2009-09-29,Folic_acid,5.0,qa test pleas remov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
405,2009-10-01,Vitamin_D,2.0,trace vit system rheumatologist told never patient nonexist result worrisom ive read post neg posit recent start take 50000unit everi day sle system lupu sjogren cardiac surgeri twice remov tumor heart last surgeri may 2008i assum year system pain sever fatigu endur lupu vit week retest 3week repost get test resultsbut reaction may felt like need sleep even pain alreadi sever rang didnt seem get wors might add test done day prior last cardiac surgeri repeatedli note osteopenia thank everyon input melinda ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
404,2009-10-01,Vitamin_D,3.3,take 2 tablet daili seem help coninu take,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
403,2009-10-02,Vitamin_D,2.3,fibromyalgia hypothyroid recent start see endrcrinologist instead famili doctor symptom trigger check vit 20 say low sb 50 explain two natur sourc fishoil sunshin neither get lot thing would get otherwis supplement milk oj etc dont use alot either put 50000iu per wk 12wk retest time 5week everi week hurt fibro thyroid seem enlarg bare hold head day sleepi clue vit make way til read post thank post call endro monday see normal get level back normal whatif guess tough man hard cannot focu rememb anyth fyi mention live sunni area doctor told dark skin folk harder time absorb vit sun actual sun even certain hour actual obtain vit meaning level anywho stick w talk 12wk want 2000 iu day least havent start sweat green friend mine high vit regimin much sweat green lol ok good luck us god bless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
402,2009-10-04,Vitamin_D,5.0,multipl problem gone 10 year problem includ sever fatigu muscl pain sever joint swell pain bone pain foggi feel sinu problem ear problem posit ana test result breath problem ive tri multipl treatment sever doctor specialist switch new doctor intak found low vitamin level doctor prescrib 100000 iu taken one time week four week retest follow initi experienc increas pain almost like tender bodi howev joint swell pain sinu sever problem subsid tender get better wasnt overnight get better would highli recommend treatment know prescrib level sound scari help final experi relief 10 year painand level take short term pleas stay best experienc relief symptom believ well youll need stick asid doc say number check okay end treatment ill move 1000 iu daili supplement best,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
401,2009-10-09,Vitamin_D,5.0,told rheumatologist low amount vit fibromyalgia lot pain sinc take treatment much less pain energi sleep better prescript strength make sure take overthecounterbetween 10002000 get blood retest give tryit work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
400,2009-10-17,Vitamin_D,2.3,gastic bypass surguri rouxni vit level 22 treatment take 50000u q week 3 month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
